"Series title","1/1/2008","1/1/2009","1/1/2010","1/1/2011","1/1/2012","1/1/2013","1/1/2014","1/1/2015"
"Total Imports","7642033","5057631","5326438","6439425","6331064","6129865","5847287","4995934"
"0|Food","881615","801874","812921","938659","948343","963570","919330","840925"
"1|Beverages and Tobacco","92411","79862","76012","77446","79450","77063","73377","71671"
"2|Crude Materials (excl. Fuel)","71854","54867","60831","62833","46740","56029","63946","56502"
"3|Mineral Fuels etcetera","2787509","1419422","1688721","2310902","2217991","2176655","1971947","1147002"
"4|Animal & Vegetable Oils & Fats","54059","33855","32643","58565","51512","42821","35428","32434"
"5|Chemicals","895037","738704","696853","873397","895635","749065","601667","582385"
"6|Manufactured Goods","872247","555494","587112","645669","616393","600637","611474","646921"
"7|Machinery and Transport Equipment","1203447","819713","793435","932107","902444","905732","964227","1030804"
"8|Misc. Manufactured Articles","665601","461047","483046","471451","454441","444006","490717","478411"
"9|Other","118253","92792","94862","68396","118115","114287","115174","108879"
"Total (incl. Single Entity Free Zone)","7642033","5057631","5326438","6439425","6331064","6129865","5847287","4995934"
"Of which Jamaica Free Zone*","##NA##","##NA##","226812","347253","351690","276229","124687","138344"
