"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,113,"JAM","Jamaica",1,"Clarendon","JM.CL",NA,"","Parish","Parish","",""
2,113,"JAM","Jamaica",2,"Hanover","JM.HA",NA,"","Parish","Parish","",""
3,113,"JAM","Jamaica",3,"Kingston","JM.KI",NA,"","Parish","Parish","","Kingston and Port Royal"
4,113,"JAM","Jamaica",4,"Manchester","JM.MA",NA,"","Parish","Parish","",""
5,113,"JAM","Jamaica",5,"Portland","JM.PO",NA,"","Parish","Parish","",""
6,113,"JAM","Jamaica",6,"Saint Andrew","JM.SD",NA,"","Parish","Parish","",""
7,113,"JAM","Jamaica",7,"Saint Ann","JM.SN",NA,"","Parish","Parish","",""
8,113,"JAM","Jamaica",8,"Saint Catherine","JM.SC",NA,"","Parish","Parish","",""
9,113,"JAM","Jamaica",9,"Saint Elizabeth","JM.SE",NA,"","Parish","Parish","",""
10,113,"JAM","Jamaica",10,"Saint James","JM.SJ",NA,"","Parish","Parish","",""
11,113,"JAM","Jamaica",11,"Saint Mary","JM.SM",NA,"","Parish","Parish","",""
12,113,"JAM","Jamaica",12,"Saint Thomas","JM.ST",NA,"","Parish","Parish","",""
13,113,"JAM","Jamaica",13,"Trelawny","JM.TR",NA,"","Parish","Parish","",""
14,113,"JAM","Jamaica",14,"Westmoreland","JM.WE",NA,"","Parish","Parish","",""
